channel_name,subscribers,category,views_counts,video_count,started_year,revenue
khari pooja,4490000,People & Blogs,1832988381,369,2022,45824710.0
Mumbai Tak,3030000,News & Politics,1832319278,49231,2017,45807982.0
Incredible Alien,3290000,Entertainment,1829633531,840,2020,45740838.0
SanskarTV,9090000,,1823013994,15216,2013,45575350.0
popi kitchen with village food,5150000,,1821873055,1031,2018,45546826.0
Malik Vlogs,4250000,People & Blogs,1820708495,1211,2020,45517712.0
Lokmat Filmy,2000000,Entertainment,1818287662,13973,2016,45457192.0
Dr. Vivek Bindra: Motivational Speaker,21300000,Education,1818275909,1037,2013,45456898.0
Premium Digiplex Movies,8140000,Film & Animation,1817718315,244,2015,45442958.0
Telly Bytes  Tele News India,4190000,Entertainment,1817007086,16123,2012,45425177.0
D Jackson,5150000,Entertainment,1814973540,687,2020,45374338.0
Spiritual Mantra,9140000,Music,1814702085,1738,2010,45367552.0
Mirchi Murga,6040000,Comedy,1813365188,1445,2014,45334130.0
Filmylooks,2120000,Entertainment,1811080085,27230,2016,45277002.0
Free Fire India Official,12900000,People & Blogs,1810768093,1578,2018,45269202.0
Earth 24,2710000,,1809732408,3577,2018,45243310.0
Aeon Pix Studios,7160000,Film & Animation,1807246813,1156,2013,45181170.0
News7 Tamil,5100000,News & Politics,1804489055,137044,2014,45112226.0
Brut India,2800000,News & Politics,1803379151,3514,2019,45084479.0
Learn with Jaspal,3570000,,1802237739,344,2021,45055943.0
Juned Fitness,3460000,Entertainment,1801898869,1351,2014,45047472.0
Movie Scenes  Angel Digital,3140000,Film & Animation,1799512994,8152,2016,44987825.0
Bollywood Hits,5160000,People & Blogs,1795561664,536,2021,44889042.0
CAPITAL TV,3710000,,1795531702,19689,2019,44888293.0
Pragati Verma,6290000,Entertainment,1790552700,220,2018,44763818.0
SRS Media Vision | Kannada Full Movies,3810000,Movies,1785439468,1167,2014,44635987.0
Crazy Cherryboy,2730000,Comedy,1780533769,565,2019,44513344.0
TV9 Bangla,2440000,News & Politics,1778440329,74126,2020,44461008.0
Planet Earth INDIA,11900000,People & Blogs,1777877949,677,2011,44446949.0
Marunadan Malayali,2160000,News & Politics,1777742811,20309,2018,44443570.0
NS Experiment,4030000,Entertainment,1776778783,795,2019,44419470.0
Mahi Lakra Vlogs,4500000,,1775692145,543,2021,44392304.0
Eagle Home Entertainments,10700000,Entertainment,1775546477,9494,2015,44388662.0
Swami Ramdev,10100000,,1775121958,7864,2010,44378049.0
Bhojpuri Movies,9820000,Movies,1772207301,355,2016,44305183.0
News18 Tamil Nadu,3830000,News & Politics,1768221123,162813,2016,44205528.0
Madan Gowri,7100000,Entertainment,1764739650,2430,2013,44118491.0
Anaysa Shorts,3890000,Entertainment,1760902593,837,2020,44022565.0
Street Dog Pluto,5370000,Entertainment,1760268430,772,2021,44006711.0
RajatBornstar,2210000,Comedy,1759217397,1219,2020,43980435.0
