channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
Marunadan Malayali
    ","2,160,000",News & Politics,"1,777,742,811",News & Politics,2018,705
"
NS Experiment
    ","4,030,000",Entertainment,"1,776,778,783",Entertainment,2019,706
"
Mahi Lakra Vlogs
    ","4,500,000",,"1,775,692,145",,2021,707
"
Eagle Home Entertainments
    ","10,700,000",Entertainment,"1,775,546,477",Entertainment,2015,708
"
Swami Ramdev
    ","10,100,000",,"1,775,121,958",,2010,709
"
Bhojpuri Movies
    ","9,820,000",Movies,"1,772,207,301",Movies,2016,710
"
News18 Tamil Nadu
    ","3,830,000",News & Politics,"1,768,221,123",News & Politics,2016,711
"
Madan Gowri
    ","7,100,000",Entertainment,"1,764,739,650",Entertainment,2013,712
"
Anaysa Shorts
    ","3,890,000",Entertainment,"1,760,902,593",Entertainment,2020,713
"
Street Dog Pluto
    ","5,370,000",Entertainment,"1,760,268,430",Entertainment,2021,714
"
RajatBornstar
    ","2,210,000",Comedy,"1,759,217,397",Comedy,2020,715
"
Examà¤ªà¥à¤°
    ","11,100,000",Education,"1,758,881,581",Education,2016,716
"
News18 Rajasthan
    ","5,100,000",News & Politics,"1,758,578,645",News & Politics,2011,717
"
Hindi Kahaniya Funny Comedy Stories
    ","5,330,000",Entertainment,"1,758,013,273",Entertainment,2017,718
"
MostTechy Shorts
    ","3,330,000",People & Blogs,"1,756,026,326",People & Blogs,2019,719
"
VATS RECORDS
    ","4,270,000",Music,"1,755,814,753",Music,2019,720
"
TIMES NOW
    ","3,790,000",News & Politics,"1,755,498,165",News & Politics,2008,721
"
Meshwa Films
    ","4,680,000",Music,"1,752,837,393",Music,2017,722
"
Indu's Kitchen
    ","2,390,000",People & Blogs,"1,752,384,118",People & Blogs,2021,723
"
BANG Music
    ","4,940,000",Music,"1,751,719,255",Music,2019,724
"
Kapil Sharma
    ","8,670,000",Entertainment,"1,745,572,721",Entertainment,2017,725
"
Always Arya
    ","3,000,000",Entertainment,"1,741,399,518",Entertainment,2017,726
"
Lotus Music
    ","14,500,000",,"1,739,129,375",,2021,727
"
Wanderers Hub Shorts
    ","3,560,000",Entertainment,"1,738,231,229",Entertainment,2021,728
"
Sharma Sisters
    ","3,050,000",People & Blogs,"1,738,206,592",People & Blogs,2019,729
"
Bhajan India
    ","8,680,000",Music,"1,735,789,720",Music,2014,730
"
Mini Foodkey
    ","3,340,000",Howto & Style,"1,732,358,867",Howto & Style,2017,731
"
News18 Kannada
    ","3,040,000",News & Politics,"1,724,858,559",News & Politics,2017,732
"
Hmm!
    ","2,420,000",Travel & Events,"1,721,419,375",Travel & Events,2012,733
"
Jigar Studio
    ","3,910,000",Music,"1,716,396,471",Music,2012,734
"
NRFM-VLOGS
    ","3,380,000",Entertainment,"1,715,532,514",Entertainment,2021,735
"
Wow Kidz Indonesia
    ","3,420,000",Film & Animation,"1,713,039,119",Film & Animation,2017,736
"
Junglee Music Telugu
    ","4,210,000",Entertainment,"1,711,754,730",Entertainment,2012,737
"
Science and fun
    ","5,720,000",Science & Technology,"1,710,746,826",Science & Technology,2013,738
"
Bala Kirthi
    ","2,660,000",People & Blogs,"1,708,251,959",People & Blogs,2012,739
"
LOKESH GAMER
    ","15,500,000",Gaming,"1,695,623,459",Gaming,2017,740
"
Ssoftoons Animation
    ","5,460,000",Film & Animation,"1,695,000,960",Film & Animation,2015,741
"
Rajlaxmi
    ","5,150,000",Music,"1,691,258,268",Music,2017,742
"
Mankirat Aulakh
    ","4,940,000",Music,"1,690,372,106",Music,2015,743
"
journalist sai
    ","783,000",News & Politics,"1,687,456,731",News & Politics,2016,744
"
Mampi. Rahul
    ","2,230,000",Entertainment,"1,684,286,399",Entertainment,2015,745
"
Its rahil Khan 05
    ","7,290,000",Film & Animation,"1,664,837,403",Film & Animation,2018,746
"
SWAPNA TV
    ","2,920,000",,"1,664,586,155",,2018,747
"
Wonder Of Stories
    ","4,050,000",,"1,664,417,129",,2019,748
"
TV9 Telugu Digital
    ","1,660,000",News & Politics,"1,663,769,024",News & Politics,2017,749
"
Velujazz official
    ","2,700,000",People & Blogs,"1,658,345,526",People & Blogs,2012,750
"
Saregama Karaoke
    ","4,610,000",Music,"1,648,812,984",Music,2008,751
"
BiscootTV
    ","2,990,000",Entertainment,"1,645,827,857",Entertainment,2013,752
"
Sona Singh
    ","4,420,000",People & Blogs,"1,643,327,131",People & Blogs,2022,753
"
Karikku
    ","9,090,000",Comedy,"1,642,882,548",Comedy,2016,754
"
Hombale Films
    ","4,510,000",Entertainment,"1,642,846,577",Entertainment,2013,755
"
Tips Punjabi
    ","3,440,000",Music,"1,640,042,756",Music,2015,756
"
Swad official
    ","2,250,000",People & Blogs,"1,638,871,348",People & Blogs,2018,757
"
Sijosh N Riya
    ","1,630,000",Entertainment,"1,636,025,842",Entertainment,2019,758
"
Next9TvNews à¤¸à¥à¤°à¤¿à¤¯à¤² à¤à¤ªà¤¡à¥à¤
    ","2,800,000",Entertainment,"1,634,245,705",Entertainment,2017,759
"
Royal Music Factory
    ","3,570,000",Music,"1,629,666,319",Music,2018,760
"
Jeet Patil
    ","7,140,000",People & Blogs,"1,623,836,960",People & Blogs,2021,761
"
One Media Entertainments
    ","2,570,000",Entertainment,"1,620,067,143",Entertainment,2017,762
"
Thugesh Shorts
    ","3,150,000",Entertainment,"1,617,974,268",Entertainment,2021,763
"
Wave Music Dhamaka
    ","4,060,000",Music,"1,615,227,792",Music,2018,764
"
Filmi Indian
    ","3,970,000",Entertainment,"1,613,891,907",Entertainment,2018,765
"
mastkalandr
    ","3,490,000",People & Blogs,"1,613,873,823",People & Blogs,2008,766
"
Masala Kitchen
    ","6,770,000",Howto & Style,"1,612,905,928",Howto & Style,2016,767
"
Tips  Jhankar Gaane
    ","4,790,000",Entertainment,"1,612,310,571",Entertainment,2013,768
"
RadaanMedia
    ","1,650,000",Entertainment,"1,610,245,144",Entertainment,2012,769
"
Harish hatricks
    ","2,950,000",People & Blogs,"1,607,889,103",People & Blogs,2015,770
"
online news india
    ","5,170,000",News & Politics,"1,607,616,740",News & Politics,2018,771
"
Zee Sarthak
    ","2,630,000",Entertainment,"1,605,584,288",Entertainment,2011,772
"
Odisha Reporter
    ","1,630,000",News & Politics,"1,605,243,395",News & Politics,2015,773
"
SS Right Information World & Suraj Sharma
    ","6,900,000",,"1,604,567,996",,2020,774
"
Mumbiker Nikhil
    ","4,060,000",People & Blogs,"1,601,879,347",People & Blogs,2013,775
"
Rangoli colors and designs by Keerthi
    ","3,740,000",Howto & Style,"1,599,961,744",Howto & Style,2018,776
"
Shemaroo Punjabi
    ","4,260,000",Music,"1,598,023,546",Music,2009,777
"
Zee Studios
    ","3,250,000",Film & Animation,"1,596,453,453",Film & Animation,2015,778
"
Wow Kidz Bangla
    ","3,090,000",Entertainment,"1,596,025,853",Entertainment,2019,779
"
Vivekjadoo Deepika
    ","1,940,000",Entertainment,"1,594,568,992",Entertainment,2020,780
"
Zee Keralam
    ","2,320,000",Entertainment,"1,594,499,374",Entertainment,2018,781
"
Facts Digger Official
    ","3,710,000",,"1,591,257,089",,2021,782
"
CWE India
    ","4,510,000",Entertainment,"1,586,826,429",Entertainment,2015,783
"
GupShupp
    ","2,390,000",Entertainment,"1,583,693,684",Entertainment,2022,784
"
Neelkamal Singh Official
    ","4,730,000",,"1,582,802,885",,2017,785
"
Veg Village Food
    ","5,780,000",Howto & Style,"1,582,531,758",Howto & Style,2014,786
"
CarryisLive
    ","12,000,000",Gaming,"1,578,695,522",Gaming,2017,787
"
Sanjay Dey
    ","1,180,000",Entertainment,"1,577,521,241",Entertainment,2022,788
"
GMJ - Global Music Junction - Bhojpuri
    ","5,450,000",Music,"1,575,894,167",Music,2017,789
"
Malik Fitness Vlog
    ","3,150,000",,"1,575,709,132",,2021,790
"
Suyash Fashion
    ","2,050,000",Howto & Style,"1,574,406,999",Howto & Style,2016,791
"
MostlySane
    ","7,090,000",Comedy,"1,573,667,494",Comedy,2015,792
"
SuperHit Gaane
    ","3,990,000",Music,"1,569,509,974",Music,2021,793
"
Hakson Pro Gaming
    ","8,350,000",Gaming,"1,569,397,818",Gaming,2017,794
"
THE ROTT
    ","2,890,000",Pets & Animals,"1,568,411,946",Pets & Animals,2019,795
"
King
    ","6,250,000",Music,"1,566,759,821",Music,2012,796
"
Mahaa News
    ","1,780,000",News & Politics,"1,565,653,138",News & Politics,2014,797
"
Yippi Gaming
    ","4,790,000",Gaming,"1,562,779,062",Gaming,2020,798
"
Satyajeet Jena Official
    ","9,270,000",Music,"1,561,916,346",Music,2014,799
"
Gunjan Singh Entertainment
    ","3,730,000",,"1,559,248,036",,2018,800
"
Sadhguru
    ","11,600,000",Howto & Style,"1,556,382,003",Howto & Style,2007,801
"
HyperXAbhyuday
    ","1,030,000",Gaming,"1,554,387,468",Gaming,2020,802
"
The Quint
    ","3,750,000",Entertainment,"1,552,946,138",Entertainment,2014,803
"
Sach Talks
    ","7,600,000",,"1,552,395,255",,2018,804
"
Comedy Captain
    ","12,500,000",Comedy,"1,550,290,790",Comedy,2016,805
"
Bharatiya Janata Party
    ","5,020,000",News & Politics,"1,548,421,836",News & Politics,2010,806
"
Chill Pannu Maapi
    ","3,480,000",Entertainment,"1,544,802,618",Entertainment,2020,807
"
B4U Movies
    ","6,160,000",Film & Animation,"1,542,744,439",Film & Animation,2011,808
"
Coke Studio India 
    ","5,560,000",Entertainment,"1,538,301,265",Entertainment,2011,809
"
Yashi Music
    ","5,050,000",Music,"1,535,290,523",Music,2017,810
"
Boldsky
    ","5,610,000",Howto & Style,"1,535,066,015",Howto & Style,2015,811
"
Classic Mini Food
    ","2,450,000",Howto & Style,"1,533,327,811",Howto & Style,2020,812
"
SR Brothers
    ","6,030,000",Entertainment,"1,532,514,763",Entertainment,2018,813
"
Ultra Marathi
    ","3,590,000",Entertainment,"1,532,024,552",Entertainment,2009,814
"
ROCK INDIAN GAMER
    ","2,580,000",,"1,530,319,235",,2018,815
"
Riddhi thalassemia major girl
    ","3,910,000",Entertainment,"1,529,597,144",Entertainment,2017,816
"
Oolfat
    ","2,240,000",Comedy,"1,528,028,973",Comedy,2013,817
"
DIL Music
    ","4,400,000",Music,"1,527,744,694",Music,2011,818
"
Sri Ganesh Videos
    ","3,120,000",Entertainment,"1,524,216,765",Entertainment,2013,819
"
AR Entertainments Movies
    ","2,770,000",Entertainment,"1,521,942,029",Entertainment,2014,820
"
Facts Dastan
    ","4,300,000",,"1,521,776,951",,2021,821
"
Majedar Kahaniya
    ","5,390,000",Entertainment,"1,518,233,370",Entertainment,2017,822
"
Ganesh Videos
    ","3,760,000",Film & Animation,"1,517,199,102",Film & Animation,2014,823
"
Ajay Chauhan
    ","3,570,000",Entertainment,"1,517,181,266",Entertainment,2015,824
"
Kahani Har Ghar Ki
    ","3,210,000",,"1,511,127,093",,2018,825
"
YesSmartyPie
    ","5,760,000",Gaming,"1,510,816,791",Gaming,2018,826
"
Hindustan Gamer
    ","4,030,000",Gaming,"1,509,807,559",Gaming,2015,827
"
SEPL VIDEO
    ","4,720,000",Film & Animation,"1,508,087,715",Film & Animation,2012,828
"
Mr & Mrs Choudhary
    ","4,710,000",People & Blogs,"1,507,411,224",People & Blogs,2013,829
"
The Viral Fever
    ","12,000,000",Entertainment,"1,504,637,730",Entertainment,2011,830
"
Lehren Retro
    ","3,220,000",Entertainment,"1,503,141,585",Entertainment,2011,831
"
Mani Meraj Vines
    ","8,190,000",,"1,502,488,635",,2018,832
"
MadhurasRecipe Marathi
    ","7,180,000",Howto & Style,"1,501,794,104",Howto & Style,2016,833
"
ANI News
    ","3,700,000",News & Politics,"1,498,877,127",News & Politics,2015,834
"
Shemaroo Kannada
    ","3,940,000",Entertainment,"1,498,834,501",Entertainment,2011,835
